number,enumerate,iterate,yield
0,0.3561220000000276,0.4844680000000494,0.3893229999999903
3,0.015483000000017455,0.017759000000012293,0.017794999999978245
4,0.015238000000010743,0.029064000000005308,0.004407000000014705
5,0.027377000000001317,0.005357000000003609,0.0043100000000322325
6,0.015148000000010597,0.006053000000008524,0.004694000000029064
7,0.015043999999988955,0.005369000000030155,0.004454000000009728
8,0.015100000000018099,0.009118000000000848,0.007870000000025357
9,0.017455999999981486,0.007854999999949541,0.005465000000015152
10,0.016519000000016604,0.006686000000001968,0.006798000000003412
11,0.017871000000013737,0.0067210000000272885,0.00695899999999483
12,0.016659000000004198,0.0077599999999620195,0.007951999999988857
13,0.016451000000017757,0.007997999999986405,0.006709999999998217
14,0.018051000000014028,0.006680000000017117,0.006858999999963089
15,0.01664400000004207,0.007847000000026583,0.005620000000021719
16,0.016857000000015887,0.007836999999994987,0.006911999999999807
17,0.01812000000001035,0.006625999999982923,0.006926999999961936
18,0.016773000000000593,0.008045999999978903,0.005455999999981032
19,0.016897999999969215,0.010161000000039166,0.006641999999999371
20,0.018291999999973996,0.006798000000003412,0.006804999999985739
21,0.01663599999994858,0.006798000000003412,0.006961999999987256
22,0.0167489999999475,0.010102000000017597,0.005573999999967327
23,0.016565000000014152,0.006613000000015745,0.006779999999992015
24,0.0166929999999752,0.00669900000002599,0.00684400000000096
25,0.016861000000005788,0.00898300000000063,0.00794100000001663
26,0.017062000000009903,0.006637000000011994,0.006904000000020005
27,0.01815500000003567,0.006632000000024618,0.006882999999959338
28,0.016734000000042215,0.008796000000018012,0.005640000000028067
30,0.018126999999992677,0.00678299999998444,0.006742000000031112
31,0.016743000000019492,0.008783999999991465,0.005602000000010321
32,0.016683999999997923,0.010536999999999352,0.0055099999999583815
33,0.018190000000004147,0.006707000000005792,0.007050000000049295
34,0.01696500000002743,0.009143999999992047,0.005517999999995027
35,0.016851999999971667,0.008031000000016775,0.00631399999997484
2,0.04037199999999075,0.02840600000001814,0.01719700000001012
1,0.02402599999999211,0.02351299999997991,0.016478000000006432
29,0.01695399999999836,0.006785999999976866,0.0056570000000419896
36,0.01658300000002555,0.006762999999978092,0.006853999999975713
40,0.017996999999979835,0.007813999999996213,0.006797000000005937
41,0.01673500000003969,0.007809000000008837,0.005510999999955857
37,0.01782199999996692,0.007616999999981999,0.0070580000000290966
38,0.017170000000021446,0.007829000000015185,0.005548000000032971
39,0.020194000000003598,0.006772000000012213,0.005588999999986299
42,0.016483999999991283,0.007790999999997439,0.005617000000029293
43,0.0182259999999701,0.007639999999980773,0.006854999999973188
44,0.016629000000023098,0.00791399999997111,0.005466000000012627
45,0.016841999999996915,0.010465000000010605,0.00561699999997245
46,0.01816800000000285,0.0076299999999491774,0.006812999999965541
47,0.017079000000023825,0.007936000000029253,0.005561999999997624
48,0.0167149999999765,0.007789999999999964,0.005552000000022872
49,0.018812999999965996,0.006683000000009542,0.006768000000022312
